epoch,avg_reward,avg_quality_score,success_rate,complete_core_deployment_rate,sla_satisfaction_rate,full_sla_satisfaction_rate,dependency_satisfaction_rate,resource_balance_score,link_congestion_score,business_balance_score,placement_resource_score,placement_business_score,future_feasibility_score,used_link_congestion_score,random_baseline_win_rate,avg_episode_delay_ms,avg_algorithm_latency_ms,p95_algorithm_latency_ms,resource_fail_count,total_requests,updated_episodes,actor_hit_rate,fallback_count,epoch_time_s,epsilon,reliability_scale,strict_reliability_prob,top_failure_reasons,eval_epoch,eval_avg_reward,eval_avg_quality_score,eval_success_rate,eval_dependency_satisfaction_rate,eval_resource_balance_score,eval_link_congestion_score,eval_business_balance_score,eval_placement_resource_score,eval_placement_business_score,eval_future_feasibility_score,eval_used_link_congestion_score,eval_avg_episode_delay_ms,eval_avg_algorithm_latency_ms,eval_p95_algorithm_latency_ms,eval_total_requests,eval_actor_hit_rate,eval_fallback_count,eval_top_failure_reasons,imitation_coef,entropy_coef,eval_quality_best_so_far,eval_reward_best_so_far
21,22.566744893636216,0.7043561503224095,100.0,100.0,100.0,100.0,100.0,0.6878254714613569,0.4206340656893937,0.9804485422465231,0.21389730299151505,0.9630391459081499,0.7150608185719888,0.39225921808785635,0.0,13.08291965,64.3135956741177,164.12363741925216,0,400,400,24.52083333333333,3623,398.48943996429443,0.25869775167148557,0.9006451612903226,0.0,[],21,20.199893057712256,0.6907970992520167,100.0,100.0,0.6857729230999604,0.4252087249999383,0.9688944368003174,0.13335177936405898,0.9261793689616581,0.713474882613105,0.3464244025466185,8.987878333333333,50.99921923806505,164.92657078881163,48,100.0,0,[],0.37274999999999997,0.009375,0.696255820646912,20.58383714848208
22,22.56912006287064,0.7045905508218894,100.0,100.0,100.0,100.0,100.0,0.6878395228160477,0.420621612733718,0.979873654232579,0.2156300003665332,0.9619345557780735,0.7148442572795937,0.3912619501080482,0.0,13.07160165,64.41609984300158,164.95931107561773,0,400,400,23.666666666666664,3664,398.81085991859436,0.2548172853964133,0.9096774193548387,0.0,[],22,19.491347684695125,0.679366013593203,100.0,100.0,0.6520223500423663,0.4253097365852105,0.9673152916026609,0.09608006848919663,0.9342621673581579,0.7136661211931293,0.3573820037840689,11.603372083333333,51.19253188033529,164.68311771746812,48,100.0,0,[],0.3705,0.00925,0.696255820646912,20.58383714848208
23,22.080736355874187,0.697262448312529,100.0,100.0,100.0,100.0,100.0,0.687636508878446,0.4194855974735776,0.972844328351226,0.1801779802076802,0.9544150227442851,0.7131843509827428,0.3729773614184932,0.0,13.774750650000001,42.799028767318916,137.26364897516757,0,400,400,23.47916666666667,3673,265.39570689201355,0.2509950261154671,0.9187096774193548,0.0,[],23,20.398504895136373,0.6967267401471543,100.0,100.0,0.6862370829153042,0.4253898558252353,0.9697046046762452,0.15608387505773139,0.9272085239142932,0.7133891958722556,0.34682387778319584,8.093187916666666,51.53410380216883,160.41510979477604,48,100.0,0,[],0.36824999999999997,0.009125000000000001,0.6967267401471543,20.58383714848208
24,22.147578072322588,0.7008534389975037,100.0,100.0,100.0,100.0,100.0,0.6873254968776814,0.4222520904401242,0.969509865477857,0.2130294514635807,0.950337238457297,0.7144723544438074,0.3962111264235928,0.0,14.03782275,38.418349760416575,89.04425949793146,0,400,400,25.1875,3591,240.06925010681152,0.24723010072373508,0.927741935483871,0.0,[],24,20.402839063955923,0.6919004804466704,100.0,100.0,0.6860544349957438,0.4253575241020637,0.9701353148753896,0.14408278746457984,0.9309714622405695,0.7134028348905387,0.3572159524565642,9.604127916666666,51.08685228487451,165.3795682998316,48,100.0,0,[],0.366,0.009000000000000001,0.6967267401471543,20.58383714848208
25,22.572522681236116,0.7039342554425438,100.0,100.0,100.0,100.0,100.0,0.6878185526692271,0.42063099671990317,0.9808606905672326,0.21280973509676918,0.963668924058355,0.7150811959387765,0.39459129039980495,0.0,13.015515599999999,64.40812250745694,165.18009899169556,0,400,400,25.666666666666664,3568,400.30377101898193,0.24352164921287905,0.9367741935483871,0.0,[],25,20.307746163514363,0.6837090998155384,100.0,100.0,0.6801307162727942,0.4252102359333951,0.9684234180399279,0.11654444390534409,0.9391368062416708,0.7136268418294165,0.3534108740020125,13.796455833333335,51.16040154967373,164.08774671086576,48,100.0,0,[],0.36375,0.008875000000000001,0.6967267401471543,20.58383714848208
26,22.57173997003476,0.7041106641722803,100.0,100.0,100.0,100.0,100.0,0.6878307501515225,0.42061854376422736,0.9803934981374917,0.214284059935896,0.9625939562220321,0.7148652915023982,0.39400455684953306,0.0,12.952264,64.42465772545197,165.35993709570903,0,400,400,23.91666666666667,3652,400.2797341346741,0.23986882447468585,0.9458064516129032,0.11021505376344054,[],26,20.243361804505323,0.6832351806614335,100.0,100.0,0.6660677670644141,0.4252062254976017,0.9693882966563848,0.11468805501641625,0.9439245153805252,0.7135280039783662,0.35671059298442015,13.83836875,51.44270441327435,163.29186487801053,48,100.0,0,[],0.3615,0.00875,0.6967267401471543,20.58383714848208
27,22.10994789405458,0.697294270349682,100.0,100.0,100.0,100.0,100.0,0.6876331804062562,0.4194855974735776,0.9733429628187841,0.1822389884935469,0.9550220674266623,0.7132116851732282,0.3765616495154174,0.0,13.79260275,42.84680771613239,138.4122257389754,0,400,400,25.229166666666664,3589,266.7930998802185,0.23627079210756557,0.9548387096774194,0.24462365591397853,[],27,21.06447372592585,0.6982039292584924,100.0,100.0,0.6861364132849275,0.4254036867727766,0.9715043184598696,0.1680682153626116,0.9407004184483759,0.7134307971400243,0.3505078714166519,11.11420625,51.49097475388468,157.34791319402572,48,100.0,0,[],0.35924999999999996,0.008625,0.6982039292584924,21.06447372592585
28,22.124064557149858,0.7005167694716468,100.0,100.0,100.0,100.0,100.0,0.6873297091115323,0.4222520904401242,0.9698256668512957,0.21120522403850991,0.9498672264540363,0.7144874082477987,0.3951718644803469,0.0,14.06115215,38.38870709268424,86.63038249662259,0,400,400,25.958333333333336,3554,240.96793699264526,0.23272673022595208,0.9638709677419355,0.37903225806451607,[],28,20.53581317397217,0.6925720916815123,100.0,100.0,0.6857494479957099,0.4253801446142773,0.9712995490480297,0.1425989992114645,0.9336613179299498,0.7133820087462652,0.3492240150454746,10.123434999999999,51.355321345454286,153.71097865823683,48,100.0,0,[],0.357,0.0085,0.6982039292584924,21.06447372592585
29,22.58303317532594,0.7042510841161135,100.0,100.0,100.0,100.0,100.0,0.6878156458627264,0.42063459471281506,0.9803100417695748,0.212953745167198,0.9638327617194665,0.7150424083791508,0.39223333853599146,0.0,13.0857177,64.43858845897316,165.76738066836697,0,400,400,25.583333333333336,3572,400.280757188797,0.2292358292725628,0.9729032258064516,0.5134408602150535,[],29,20.71340969321663,0.695339320939509,100.0,100.0,0.6860016371755275,0.42542966500902096,0.9709713193220253,0.15520156860778564,0.934016395387264,0.7134157717439388,0.3503409233367387,10.052549583333333,52.07134303464045,161.8453605921968,48,100.0,0,[],0.35475,0.008375,0.6982039292584924,21.06447372592585
30,22.574190984647988,0.703947830635594,100.0,100.0,100.0,100.0,100.0,0.687835507474166,0.4206240103557494,0.9800519117282039,0.21368289570915763,0.9624844873355264,0.7148181605405867,0.39387015679741794,0.0,12.99235685,64.46334417233022,164.74094378318114,0,400,400,25.75,3564,400.17807126045227,0.22579729183347436,0.9819354838709677,0.647849462365591,[],30,20.250566022430878,0.6882857072968548,100.0,100.0,0.6848851794578442,0.42514074308882527,0.9706880655499771,0.12436952511644807,0.9396132667048772,0.7136403493409776,0.34372737580862217,12.3525025,51.83486735253003,154.84079384394133,48,100.0,0,[],0.3525,0.00825,0.6982039292584924,21.06447372592585
31,22.080365660356023,0.6965504371596145,100.0,100.0,100.0,100.0,100.0,0.6876177032903535,0.41951639738568447,0.9725935932834523,0.18033558530081245,0.9548562656201358,0.7131500187542755,0.3790343045695277,0.0,13.733842049999998,42.85303680196799,139.13486128407385,0,400,400,26.8125,3513,267.2870409488678,0.22241033245597225,0.9909677419354839,0.7822580645161291,[],31,20.82468571181713,0.693285860405895,100.0,100.0,0.6860185815016416,0.42524483072695024,0.9710176176941179,0.15020008047585287,0.9389252572314989,0.713447595910985,0.3535573769675345,11.471357916666667,51.613408628605214,154.23940821565336,48,100.0,0,[],0.35025,0.008125,0.6982039292584924,21.06447372592585
32,22.118062558503844,0.7005501999826228,100.0,100.0,100.0,100.0,100.0,0.6873112641986188,0.4222749413670722,0.9693748475752848,0.21031090030392563,0.9502497986167319,0.7144159829589043,0.3924478406660581,0.0,14.26224745,38.34600764487732,86.1848937649482,0,400,400,25.895833333333336,3557,241.51215291023254,0.21907417746913266,1.0,1.0,[],32,20.764527382394395,0.6912996685798375,100.0,100.0,0.6848518014207624,0.42533802048946856,0.9717413917252467,0.1487029435336535,0.944583949668958,0.7135492668467375,0.3599400203467978,13.299327916666664,51.52470051360877,153.46218067254082,48,100.0,0,[],0.348,0.008,0.6982039292584924,21.06447372592585
33,22.58303317532594,0.7042510841161135,100.0,100.0,100.0,100.0,100.0,0.6878156458627264,0.42063459471281506,0.9803100417695748,0.212953745167198,0.9638327617194665,0.7150424083791508,0.39223333853599146,0.0,13.0857177,64.49300889500289,165.00585901627346,0,400,400,26.145833333333336,3545,401.0387830734253,0.21578806480709567,1.0,1.0,[],33,20.747057636341243,0.692457012995189,100.0,100.0,0.6857673605620792,0.42524483072695024,0.9711043182121584,0.1448681773153591,0.9382301291447527,0.7134034072037823,0.355931365606401,10.634165000000001,51.72978578833763,159.93381297721496,48,100.0,0,[],0.34575,0.007875,0.6982039292584924,21.06447372592585
34,22.574190984647988,0.703947830635594,100.0,100.0,100.0,100.0,100.0,0.687835507474166,0.4206240103557494,0.9800519117282039,0.21368289570915763,0.9624844873355264,0.7148181605405867,0.39387015679741794,0.0,12.99235685,64.74198306318007,166.2654129519433,0,400,400,26.72916666666667,3517,402.0679202079773,0.21255124383498925,1.0,1.0,[],34,20.9878863731501,0.6941233241940433,100.0,100.0,0.686081969315647,0.42530278476073996,0.9724618635776242,0.15470852936131393,0.9409424527537734,0.7134289665793739,0.35465030694585575,11.881975833333334,51.70685850516242,155.5776162581969,48,100.0,0,[],0.34349999999999997,0.00775,0.6982039292584924,21.06447372592585
35,22.080365660356023,0.6965504371596145,100.0,100.0,100.0,100.0,100.0,0.6876177032903535,0.41951639738568447,0.9725935932834523,0.18033558530081245,0.9548562656201358,0.7131500187542755,0.3790343045695277,0.0,13.733842049999998,42.97687883554015,139.11776592813112,0,400,400,26.875,3510,268.11544704437256,0.2093629751774644,1.0,1.0,[],35,21.07943177406709,0.6962051420459051,100.0,100.0,0.6864600421400553,0.4253579403493748,0.972102783049572,0.16929163283879145,0.9446581858617545,0.7134533505772443,0.3606187808904035,12.81253375,51.59115096711906,154.35246715573155,48,100.0,0,[],0.34125,0.007625,0.6982039292584924,21.07943177406709
36,22.118062558503844,0.7005501999826228,100.0,100.0,100.0,100.0,100.0,0.6873112641986188,0.4222749413670722,0.9693748475752848,0.21031090030392563,0.9502497986167319,0.7144159829589043,0.3924478406660581,0.0,14.26224745,38.362492053202004,85.81495773887556,0,400,400,26.645833333333336,3521,241.69576978683472,0.20622253054980244,1.0,1.0,[],36,20.461940269482827,0.6867965442949986,100.0,100.0,0.6811976445261522,0.42517977087714637,0.9704251944352208,0.12792438717477475,0.9423329471862867,0.7136210609766565,0.3548234168907092,13.612073333333335,51.47917043410012,155.03627702833907,48,100.0,0,[],0.33899999999999997,0.0075,0.6982039292584924,21.07943177406709
37,22.58303317532594,0.7042510841161135,100.0,100.0,100.0,100.0,100.0,0.6878156458627264,0.42063459471281506,0.9803100417695748,0.212953745167198,0.9638327617194665,0.7150424083791508,0.39223333853599146,0.0,13.0857177,64.62269779223485,165.6158757606681,0,400,400,27.22916666666667,3493,401.6447579860687,0.2031291925915554,1.0,1.0,[],37,20.924882138253682,0.6932751747138601,100.0,100.0,0.6846072004362925,0.4252155598857093,0.9725675676616546,0.15342318064858262,0.9485120942533287,0.7135395032258095,0.3565606981981712,13.335719166666669,51.78601571381275,154.3201967686036,48,100.0,0,[],0.33675,0.007375,0.6982039292584924,21.07943177406709
38,22.5737580352233,0.7044001087210263,100.0,100.0,100.0,100.0,100.0,0.6878305718108932,0.4206240103557494,0.9804720967753152,0.21657549617609143,0.9620118926481789,0.7148466780409793,0.39465036375097623,0.0,13.008759050000002,64.84444945440069,165.6200453697238,0,400,400,26.95833333333333,3506,402.92735505104065,0.20008225470268207,1.0,1.0,[],38,20.929138263821432,0.6950065642721839,100.0,100.0,0.6860996147583626,0.4253921759216574,0.9716450029722976,0.15485999811349282,0.9387790635697136,0.7134357247044179,0.34877798757367423,11.487230833333333,51.75764031638311,154.0823437338622,48,100.0,0,[],0.3345,0.00725,0.6982039292584924,21.07943177406709
