2026-05-08 02:04:45,931 [INFO] Epoch 18 | Reward=27.20 | Success=100.00% | DepDelay=19.92ms | Fail=0/80 | TopFail=[]
2026-05-08 02:12:38,578 [INFO] Epoch 19 | Reward=27.29 | Success=100.00% | DepDelay=16.54ms | Fail=0/80 | TopFail=[]
2026-05-08 02:20:59,107 [INFO] Epoch 20 | Reward=27.41 | Success=100.00% | DepDelay=14.06ms | Fail=0/80 | TopFail=[]
2026-05-08 02:27:14,765 [INFO] Epoch 21 | Reward=26.91 | Success=98.75% | DepDelay=19.58ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 02:34:19,787 [INFO] Epoch 22 | Reward=27.06 | Success=100.00% | DepDelay=23.05ms | Fail=0/80 | TopFail=[]
2026-05-08 02:42:59,013 [INFO] Epoch 23 | Reward=27.11 | Success=98.75% | DepDelay=14.98ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 02:49:49,005 [INFO] Epoch 24 | Reward=27.23 | Success=100.00% | DepDelay=19.14ms | Fail=0/80 | TopFail=[]
2026-05-08 02:56:12,986 [INFO] Epoch 25 | Reward=27.15 | Success=100.00% | DepDelay=20.17ms | Fail=0/80 | TopFail=[]
2026-05-08 03:03:46,851 [INFO] Epoch 26 | Reward=27.26 | Success=100.00% | DepDelay=17.94ms | Fail=0/80 | TopFail=[]
2026-05-08 03:10:52,670 [INFO] Epoch 27 | Reward=27.36 | Success=100.00% | DepDelay=15.17ms | Fail=0/80 | TopFail=[]
2026-05-08 03:19:14,417 [INFO] Epoch 28 | Reward=27.36 | Success=100.00% | DepDelay=15.16ms | Fail=0/80 | TopFail=[]
2026-05-08 03:25:00,145 [INFO] Epoch 29 | Reward=26.51 | Success=98.75% | DepDelay=27.94ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 03:32:11,997 [INFO] Epoch 30 | Reward=27.21 | Success=100.00% | DepDelay=19.08ms | Fail=0/80 | TopFail=[]
2026-05-08 03:38:57,919 [INFO] Epoch 31 | Reward=27.02 | Success=100.00% | DepDelay=23.70ms | Fail=0/80 | TopFail=[]
2026-05-08 03:46:44,901 [INFO] Epoch 32 | Reward=27.31 | Success=100.00% | DepDelay=17.36ms | Fail=0/80 | TopFail=[]
2026-05-08 03:54:30,019 [INFO] Epoch 33 | Reward=27.21 | Success=100.00% | DepDelay=19.88ms | Fail=0/80 | TopFail=[]
2026-05-08 04:02:41,649 [INFO] Epoch 34 | Reward=27.24 | Success=100.00% | DepDelay=18.63ms | Fail=0/80 | TopFail=[]
2026-05-08 04:09:42,335 [INFO] Epoch 35 | Reward=27.26 | Success=100.00% | DepDelay=18.50ms | Fail=0/80 | TopFail=[]
2026-05-08 04:17:01,459 [INFO] Epoch 36 | Reward=26.95 | Success=98.75% | DepDelay=18.68ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 04:23:08,332 [INFO] Epoch 37 | Reward=26.69 | Success=98.75% | DepDelay=25.36ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 04:32:09,052 [INFO] Epoch 38 | Reward=27.14 | Success=98.75% | DepDelay=12.38ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 04:38:47,677 [INFO] Epoch 39 | Reward=26.51 | Success=97.50% | DepDelay=21.62ms | Fail=2/80 | TopFail=[('no_candidates', 2)]
2026-05-08 04:48:04,399 [INFO] Epoch 40 | Reward=27.05 | Success=98.75% | DepDelay=15.45ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 04:55:38,702 [INFO] Epoch 41 | Reward=27.28 | Success=100.00% | DepDelay=17.58ms | Fail=0/80 | TopFail=[]
